status,case,run,group,model,tier,n_target,n_classical,accuracy_lower,accuracy_upper,disagreement_min,disagreement_max,n_nearest_ties,n_farthest_ties,nearest_cfg,nearest_kernel,nearest_dim,farthest_cfg,farthest_kernel,farthest_dim,quantum_cfg,quantum_kernel,quantum_dim,population_correction_95_theoretical_only,falsifies_0p005,falsifies_0p010,falsifies_0p020
post-hoc exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,customary_30,500,30,-0.366,0.14,0.14,0.366,1,1,rbf_gscale_x10__gpc__d12,rbf_gscale_x10,12,rbf_gscale_x3__gpc__d6,rbf_gscale_x3,6,zz_r1_full__as0.5__gpc__d12,zz_r1_full__as0.5,12,0.08420259399671777,False,False,False
post-hoc exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,full_115,500,115,-0.394,0.08,0.08,0.394,1,1,laplacian_med_x0.3__gpc__d12,laplacian_med_x0.3,12,matern25_med_x10__gpc__d8,matern25_med_x10,8,zz_r1_full__as0.5__gpc__d12,zz_r1_full__as0.5,12,0.09183578595774736,False,False,False
post-hoc exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,customary_30,500,30,-0.322,0.122,0.122,0.322,1,1,rbf_gscale_x10__gpc__d10,rbf_gscale_x10,10,linear__gpc__d6,linear,6,zz_r2_full__as2__gpc__d8,zz_r2_full__as2,8,0.08420259399671777,False,False,False
post-hoc exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,full_115,500,115,-0.322,0.074,0.074,0.322,1,2,matern25_med_x0.1__gpc__d6,matern25_med_x0.1,6,linear__gpc__d6,linear,6,zz_r2_full__as2__gpc__d8,zz_r2_full__as2,8,0.09183578595774736,False,False,False
post-hoc exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,customary_30,500,30,-0.376,0.054,0.054,0.376,2,1,rbf_gscale_x10__gpc__d6,rbf_gscale_x10,6,rbf_gscale_x0.1__gpc__d4,rbf_gscale_x0.1,4,zz_r1_full__as2__gpc__d6,zz_r1_full__as2,6,0.08420259399671777,False,False,False
post-hoc exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,full_115,500,115,-0.38,0.016,0.016,0.38,2,1,laplacian_med_x0.1__gpc__d10,laplacian_med_x0.1,10,laplacian_med_x10__gpc__d4,laplacian_med_x10,4,zz_r1_full__as2__gpc__d6,zz_r1_full__as2,6,0.09183578595774736,False,False,True
post-hoc exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,customary_30,500,30,-0.54,0.006,0.006,0.54,1,2,rbf_gscale_x10__gpc__d6,rbf_gscale_x10,6,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d10,zz_r2_full__as0.5,10,0.08420259399671777,False,True,True
post-hoc exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,full_115,500,115,-0.54,0.006,0.006,0.54,3,4,matern15_med_x0.1__gpc__d6,matern15_med_x0.1,6,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d10,zz_r2_full__as0.5,10,0.09183578595774736,False,True,True
post-hoc exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,customary_30,500,30,-0.342,0.076,0.076,0.342,1,1,rbf_gscale_x10__gpc__d12,rbf_gscale_x10,12,linear__gpc__d4,linear,4,zz_r1_full__gpc__d12,zz_r1_full,12,0.08420259399671777,False,False,False
post-hoc exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,full_115,500,115,-0.342,0.066,0.066,0.342,1,1,matern15_med_x0.1__gpc__d8,matern15_med_x0.1,8,linear__gpc__d4,linear,4,zz_r1_full__gpc__d12,zz_r1_full,12,0.09183578595774736,False,False,False
post-hoc exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,customary_30,500,30,-0.354,0.028,0.028,0.354,1,1,rbf_gscale_x10__gpc__d4,rbf_gscale_x10,4,linear__gpc__d4,linear,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,4,0.08420259399671777,False,False,False
post-hoc exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,full_115,500,115,-0.354,0.028,0.028,0.354,1,1,rbf_gscale_x10__gpc__d4,rbf_gscale_x10,4,linear__gpc__d4,linear,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,4,0.09183578595774736,False,False,False
post-hoc exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,customary_30,500,30,-0.364,0.088,0.088,0.364,1,1,rbf_gscale_x10__gpc__d10,rbf_gscale_x10,10,linear__gpc__d4,linear,4,zz_r2_full__as0.5__gpc__d8,zz_r2_full__as0.5,8,0.08420259399671777,False,False,False
