case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0,-0.366,-0.366,-0.366,0.14,0.14,0.14
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,5,-0.362,-0.366,-0.354,0.14,0.132,0.14
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,10,-0.356,-0.366,-0.346,0.136,0.128,0.14
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,20,-0.346,-0.358,-0.332,0.136,0.124,0.14
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,30,-0.338,-0.352,-0.32195,0.132,0.11989999999999999,0.14
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,40,-0.328,-0.344,-0.31,0.128,0.1159,0.13610000000000003
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,50,-0.32,-0.34,-0.29795,0.124,0.1119,0.136
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,75,-0.296,-0.32005,-0.272,0.11699999999999999,0.1,0.132
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,100,-0.276,-0.296,-0.248,0.112,0.0919,0.128
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,150,-0.232,-0.26005,-0.198,0.096,0.072,0.116
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,200,-0.186,-0.22005,-0.15394999999999998,0.08,0.06,0.10605
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,300,-0.108,-0.136,-0.078,0.052,0.032,0.07610000000000001
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,400,-0.052,-0.07005,-0.028,0.022,0.004,0.040100000000000025
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,500,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0,-0.394,-0.394,-0.394,0.08,0.08,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,5,-0.386,-0.394,-0.382,0.08,0.072,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,10,-0.382,-0.39,-0.37389999999999995,0.08,0.072,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,20,-0.37,-0.3821,-0.358,0.076,0.068,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,30,-0.362,-0.378,-0.346,0.076,0.064,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,40,-0.35,-0.366,-0.334,0.072,0.064,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,50,-0.342,-0.358,-0.322,0.072,0.06,0.08
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,75,-0.314,-0.3341,-0.29,0.068,0.052,0.07610000000000001
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,100,-0.29,-0.314,-0.266,0.064,0.048,0.076
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,150,-0.242,-0.27,-0.21194999999999997,0.056,0.036,0.068
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,200,-0.191,-0.228,-0.162,0.044,0.028,0.06
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,300,-0.118,-0.14805,-0.09194999999999999,0.028,0.012,0.044050000000000006
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,400,-0.068,-0.088,-0.048,0.002,-0.014,0.018
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,500,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0,-0.322,-0.322,-0.322,0.122,0.122,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,5,-0.318,-0.322,-0.31,0.122,0.114,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,10,-0.314,-0.322,-0.302,0.122,0.11,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,20,-0.306,-0.318,-0.29,0.118,0.106,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,30,-0.294,-0.31,-0.278,0.114,0.102,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,40,-0.286,-0.302,-0.266,0.114,0.098,0.122
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,50,-0.274,-0.294,-0.25389999999999996,0.11,0.094,0.11810000000000001
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,75,-0.254,-0.2741,-0.22794999999999999,0.106,0.0899,0.118
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,100,-0.23,-0.254,-0.202,0.098,0.082,0.114
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,150,-0.188,-0.21605,-0.15794999999999998,0.086,0.066,0.102
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,200,-0.146,-0.18005,-0.11994999999999999,0.074,0.054,0.094
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,300,-0.078,-0.11,-0.057949999999999995,0.05,0.03,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,400,-0.028,-0.048,-0.013949999999999988,0.026,0.01,0.04610000000000002
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,500,0.002,0.002,0.002,0.002,0.002,0.002
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0,-0.322,-0.322,-0.322,0.074,0.074,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,5,-0.318,-0.322,-0.31,0.074,0.07,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,10,-0.314,-0.322,-0.302,0.074,0.066,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,20,-0.306,-0.318,-0.29,0.07100000000000001,0.062,0.074
