case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.005,200,200,1.0,453.5,400.0,482.07500000000005,366.0,492.0,81.0,73.0,85.0,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.01,200,200,1.0,439.5,388.875,475.0,352.0,488.0,79.0,70.0,83.025,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.02,200,200,1.0,400.0,332.975,447.1,326.0,464.0,71.0,62.975,78.025,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.005,200,200,1.0,393.0,320.0,444.0,316.0,462.0,83.0,69.975,91.0,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.01,200,200,1.0,369.5,301.0,425.025,287.0,445.0,78.0,64.0,88.0,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.02,200,200,1.0,326.0,230.8,388.15000000000003,177.0,424.0,69.0,48.975,82.0,0.0,0.0,0.0,0.005
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.005,200,200,1.0,489.0,441.875,500.0,401.0,500.0,81.0,76.0,82.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.01,200,200,1.0,457.5,394.9,491.0,363.0,497.0,76.0,68.0,80.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.02,200,200,1.0,423.5,346.0,471.05,331.0,476.0,70.0,61.0,76.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.005,200,200,1.0,400.0,312.675,459.125,265.0,474.0,69.0,56.0,77.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.01,200,200,1.0,371.5,286.0,444.125,260.0,465.0,65.0,52.0,74.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.02,200,200,1.0,311.5,223.925,408.05,179.0,423.0,55.0,40.0,66.0,0.0,0.0,0.0,0.015
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.005,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.01,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.02,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,192.5,45.825,380.2750000000001,9.0,443.0,8.0,3.0,13.0,0.01,0.035,0.16,0.51
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,112.0,17.750000000000007,304.15000000000003,5.0,390.0,4.0,2.0,10.0,0.055,0.18,0.455,0.88
