case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.005,200,200,1.0,64.0,58.0,67.0,55.0,67.0,34.0,34.0,34.0,0.0,0.0,1.0,1.0
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.01,200,200,1.0,62.0,56.0,66.0,54.0,66.0,33.0,33.0,33.0,0.0,0.0,1.0,1.0
00_ember_m1,ember_m1,gpc,entangling_zz,customary_30,0.02,200,200,1.0,57.0,48.975,61.0,43.0,63.0,30.0,30.0,30.0,0.0,0.055,1.0,1.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.005,200,200,1.0,36.0,31.0,38.0,26.0,38.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.01,200,200,1.0,34.0,29.0,37.0,25.0,37.0,18.0,18.0,18.0,0.005,1.0,1.0,1.0
00_ember_m1,ember_m1,gpc,entangling_zz,full_115,0.02,200,200,1.0,28.0,23.0,32.0,20.0,33.0,15.0,15.0,15.0,0.165,1.0,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.005,200,200,1.0,76.0,72.0,77.0,70.0,77.0,34.0,34.0,34.0,0.0,0.0,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.01,200,200,1.0,58.0,51.0,60.0,49.0,60.0,28.0,28.0,28.0,0.0,0.01,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,customary_30,0.02,200,200,1.0,54.0,46.975,58.0,45.0,58.0,26.0,26.0,26.0,0.0,0.16,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.005,200,200,1.0,40.0,39.0,40.0,39.0,40.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.01,200,200,1.0,34.0,30.0,36.0,28.0,36.0,16.0,16.0,16.0,0.0,1.0,1.0,1.0
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,0.02,200,200,1.0,30.0,24.0,34.0,22.0,34.0,14.0,14.0,14.0,0.085,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.005,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.01,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0.02,200,0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,0.005,200,200,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,0.01,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,customary_30,0.02,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,0.005,200,200,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,0.01,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,gpc,entangling_zz,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,0.005,200,200,1.0,22.0,19.0,25.0,19.0,25.0,18.0,18.0,18.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,0.01,200,200,1.0,21.0,18.0,24.0,18.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,0.02,200,200,1.0,17.0,15.0,20.0,14.0,21.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0
