status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,retrospective_label_oracle,0.005,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,retrospective_label_oracle,0.01,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,retrospective_label_oracle,0.02,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,retrospective_label_oracle,0.005,19
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,retrospective_label_oracle,0.01,18
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,retrospective_label_oracle,0.02,15
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.005,32
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.01,28
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,retrospective_label_oracle,0.02,26
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.005,18
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.01,16
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,retrospective_label_oracle,0.02,14
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,retrospective_label_oracle,0.005,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,retrospective_label_oracle,0.01,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,customary_30,500,30,0.027999999999999914,retrospective_label_oracle,0.02,-1
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,retrospective_label_oracle,0.005,3
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,retrospective_label_oracle,0.01,2
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,zz_r1_full__as2,entangling_zz,full_115,500,115,-0.014000000000000012,retrospective_label_oracle,0.02,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.010000000000000009,retrospective_label_oracle,0.005,1
