case,group,quantum_stratum,tier,threshold,n_draws,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
00_ember_m1,ember_m1,product_map,customary_30,0.005,200,402.0,321.95,464.0,268,481,84.0,68.0,96.0,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,product_map,customary_30,0.01,200,355.5,247.975,427.0,204,460,74.0,52.0,88.0,0.0,0.0,0.0,0.0
00_ember_m1,ember_m1,product_map,customary_30,0.02,200,282.0,171.0,373.025,136,405,59.0,36.975,75.025,0.0,0.0,0.0,0.065
00_ember_m1,ember_m1,product_map,full_115,0.005,200,329.5,226.82500000000002,412.125,154,451,76.5,54.95,96.0,0.0,0.0,0.0,0.01
00_ember_m1,ember_m1,product_map,full_115,0.01,200,267.0,163.85,365.7750000000002,123,429,61.0,40.975,84.025,0.0,0.0,0.0,0.09
00_ember_m1,ember_m1,product_map,full_115,0.02,200,208.0,114.85000000000001,306.025,90,387,49.5,28.975,69.025,0.0,0.0,0.01,0.445
01_ember_m2,ember_m2,product_map,customary_30,0.005,200,362.0,275.95,422.0,211,441,68.0,52.975,77.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,product_map,customary_30,0.01,200,335.5,245.9,399.17500000000007,191,419,63.0,47.0,71.025,0.0,0.0,0.0,0.005
01_ember_m2,ember_m2,product_map,customary_30,0.02,200,271.0,161.975,360.1,140,402,51.0,32.975,65.025,0.0,0.0,0.0,0.11
01_ember_m2,ember_m2,product_map,full_115,0.005,200,323.5,245.8,395.07500000000005,211,418,67.0,50.95,80.0,0.0,0.0,0.0,0.0
01_ember_m2,ember_m2,product_map,full_115,0.01,200,284.0,190.70000000000002,370.025,154,406,58.5,41.975,74.0,0.0,0.0,0.0,0.035
01_ember_m2,ember_m2,product_map,full_115,0.02,200,224.0,140.0,303.0,117,323,47.0,30.0,62.0,0.0,0.0,0.0,0.3
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,0.005,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,0.01,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,customary_30,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,0.005,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,0.01,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,entangling_zz,full_115,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,0.005,200,185.5,35.975,361.30000000000007,17,424,5.0,2.0,8.0,0.015,0.06,0.19,0.52
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,0.01,200,56.5,4.9750000000000005,231.10000000000002,1,263,2.0,1.0,4.0,0.27,0.445,0.74,0.94
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,customary_30,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,0.005,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,0.01,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,product_map,full_115,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,0.005,200,238.0,58.675000000000004,395.05,10,446,14.0,3.9750000000000005,21.0,0.01,0.025,0.06,0.385
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,0.01,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,customary_30,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,0.005,200,198.5,58.675000000000004,339.07500000000005,10,382,16.0,4.9750000000000005,24.0,0.01,0.025,0.085,0.515
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,0.01,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,product_map,full_115,0.02,200,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,0.005,200,293.5,161.82500000000002,391.025,122,423,31.0,19.975,40.0,0.0,0.0,0.0,0.11
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,0.01,200,258.0,123.825,354.0,112,392,28.0,16.0,36.0,0.0,0.0,0.0,0.2
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,customary_30,0.02,200,164.0,71.85000000000001,307.07500000000005,56,341,18.0,10.0,29.0,0.0,0.0,0.105,0.745
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,0.005,200,265.5,161.82500000000002,376.15000000000003,97,403,36.0,21.0,46.05000000000001,0.0,0.0,0.005,0.135
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,0.01,200,220.0,94.925,331.05,57,354,29.0,15.975000000000001,41.0,0.0,0.0,0.03,0.375
05_unsw_dos_natural_cur,unsw_dos_natural_cur,entangling_zz,full_115,0.02,200,132.5,45.95,272.025,25,315,19.0,8.0,32.0,0.005,0.04,0.26,0.845
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,0.005,200,337.0,251.9,411.0,220,431,23.0,19.0,26.0,0.0,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,0.01,200,293.5,198.95,379.0,160,403,20.0,15.0,23.0,0.0,0.0,0.0,0.045
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,customary_30,0.02,200,230.0,127.85000000000001,343.025,71,376,16.0,11.0,20.0,0.0,0.0,0.01,0.24
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,0.005,200,271.5,191.9,360.025,160,407,21.0,17.0,25.0,0.0,0.0,0.0,0.06
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,0.01,200,234.0,164.95,336.05,141,384,18.0,14.0,23.0,0.0,0.0,0.0,0.21
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,entangling_zz,full_115,0.02,200,169.5,93.95,264.025,70,293,13.0,9.975000000000001,18.025000000000006,0.0,0.0,0.045,0.71
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,0.005,200,362.5,255.25000000000003,448.025,143,465,55.0,39.975,65.025,0.0,0.0,0.0,0.01
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,0.01,200,325.0,192.55,419.05,139,431,50.0,31.0,60.0,0.0,0.0,0.0,0.035
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,customary_30,0.02,200,196.0,91.775,311.025,55,339,31.0,15.0,45.025000000000006,0.0,0.0,0.04,0.52
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,0.005,200,352.0,255.25000000000003,414.025,143,456,66.0,45.975,76.0,0.0,0.0,0.0,0.01
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,0.01,200,312.5,192.55,397.07500000000005,139,408,59.0,38.925000000000004,71.0,0.0,0.0,0.0,0.035
07_unsw_recon_natural_cur,unsw_recon_natural_cur,entangling_zz,full_115,0.02,200,184.0,91.775,302.025,55,339,35.0,16.975,56.025000000000006,0.0,0.0,0.04,0.575
