status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.005,25,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.01,18,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.02,16,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.005,15,12
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.01,12,10
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.02,10,8
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.005,24,15
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.01,22,14
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.02,19,11
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.03600000000000003,adaptive_bottleneck_cover,0.005,17,13
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.03600000000000003,adaptive_bottleneck_cover,0.01,15,11
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.03600000000000003,adaptive_bottleneck_cover,0.02,12,9
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,customary_30,500,30,-0.0040000000000000036,adaptive_bottleneck_cover,0.005,0,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,customary_30,500,30,-0.0040000000000000036,adaptive_bottleneck_cover,0.01,0,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,customary_30,500,30,-0.0040000000000000036,adaptive_bottleneck_cover,0.02,0,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,adaptive_bottleneck_cover,0.005,0,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,adaptive_bottleneck_cover,0.01,0,0
post-unlock exploratory,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.0040000000000000036,adaptive_bottleneck_cover,0.02,0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.005,2,2
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.01,1,1
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.02,0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,adaptive_bottleneck_cover,0.005,0,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.018000000000000016,adaptive_bottleneck_cover,0.01,0,0
